Election Year,Position,Name,Votes,Votes %,Party,AC name,AC No
2010,8,Shambhuprasad,2923,2.60%,Independent,Nautan,6
2010,9,Kishori Lal Prasad,2079,1.90%,Independent,Nautan,6
2010,10,Umesh Kumar Verma,1717,1.50%,Nationalist Congress Party,Nautan,6
2010,11,Vandhu Nath Dubey,1707,1.50%,Independent,Nautan,6
2010,12,Palat Miya,1497,1.30%,Independent,Nautan,6
2010,13,Ratan Kumar Sarkar,1204,1.10%,Independent,Nautan,6
2010,14,Ramchhatriya Singh Patel,1110,1.00%,Samajwadi Party,Nautan,6
2010,15,Raghunathprasad,1019,0.90%,Janata Dal (Secular),Nautan,6
2010,16,Shri Kanti Devi,840,0.80%,Vanchitsamaj Insaaf Party,Nautan,6
2010,1,Chandra Mohan Rai,44835,40.40%,Bharatiya Janta Party,Chanpatia,7
2010,2,Ejaj Hussain,21423,19.30%,Bahujan Samaj Party,Chanpatia,7
2010,3,Tribhuvan Prasad Sharma,9131,8.20%,Indian National Congress,Chanpatia,7
2010,4,Shekh Sharfuddin,7623,6.90%,Lok Jan Shakti Party,Chanpatia,7
2010,5,Om Prakash Shrivastwa,7441,6.70%,Communist Party Of India,Chanpatia,7
2010,6,Veer Mahto,4934,4.50%,Independent,Chanpatia,7
2010,7,Kameshwar Nath Tiwari,2996,2.70%,Nationalist Congress Party,Chanpatia,7
2010,8,Sunil Kumar,2606,2.40%,Independent,Chanpatia,7
2010,9,Ashwani Kumar Yadav,2032,1.80%,Samajwadi Party,Chanpatia,7
2010,10,Srimaan Mishra,1640,1.50%,Independent,Chanpatia,7
2010,11,Mohmad Zeyauddin,993,0.90%,Independent,Chanpatia,7
2010,12,Vijay Ram,966,0.90%,Independent,Chanpatia,7
2010,13,Lalan Sah,872,0.80%,Independent,Chanpatia,7
2010,14,Om Prakash Sharma,793,0.70%,Independent,Chanpatia,7
2010,15,Pramod Kumar Keshri,776,0.70%,Samajwadi Janata Party (RASHTRIYA),Chanpatia,7
2010,16,Triveni Nath Shukal,674,0.60%,Suheldev Bhartiya Samaj Party,Chanpatia,7
2010,17,Brij Bihari Prasad,633,0.60%,Janvadi Party (Socialist),Chanpatia,7
2010,18,Narmada Prasad Sah,586,0.50%,Indian Justice Party,Chanpatia,7
2010,1,Renu Devi,42010,39.60%,Bharatiya Janta Party,Bettiah,8
2010,2,Anil Kumar Jha,13221,12.50%,Independent,Bettiah,8
2010,3,Madan Mohan Tiwari,12499,11.80%,Indian National Congress,Bettiah,8
2010,4,Virval Yadav,11511,10.80%,Lok Jan Shakti Party,Bettiah,8
2010,5,Ramashankar Prasad Kushawaha,5580,5.30%,Independent,Bettiah,8
2010,6,Shambhu Prasad Gupta,3713,3.50%,Independent,Bettiah,8
2010,7,Parwez Alam,2932,2.80%,Nationalist Congress Party,Bettiah,8
2010,8,Jawahar Gupta,2370,2.20%,Independent,Bettiah,8
2010,9,Ranjit Giri,2203,2.10%,Communist Party Of India,Bettiah,8
2010,10,Rajesh Kumar,1791,1.70%,Bahujan Samaj Party,Bettiah,8
2010,11,Md Alamgir Aftab,1551,1.50%,Independent,Bettiah,8
2010,12,Pramod Sah,1216,1.20%,Samajwadi Janata Party (RASHTRIYA),Bettiah,8
2010,13,Chandrika Sahni,1178,1.10%,Janvadi Party (Socialist),Bettiah,8
2010,14,Mahfuz Alam,1162,1.10%,Independent,Bettiah,8
2010,15,Ishtakhar Husen,1092,1.00%,Independent,Bettiah,8
2010,16,Vindeshwari Sah,986,0.90%,Independent,Bettiah,8
2010,17,Surendra Ram,678,0.60%,Indian Justice Party,Bettiah,8
2010,18,Shyam Chandra Gupt,470,0.40%,Jharkhand Mukti Morcha,Bettiah,8
2010,1,Dilip Varma,49229,39.40%,Independent,Sikta,9
2010,2,Khurshid Urf Firoj Ahamad,40450,32.40%,Janata Dal (United),Sikta,9
2010,3,Ghanshyam Prasad,8779,7.00%,Lok Jan Shakti Party,Sikta,9
2010,4,Virendra Prasad Gupta,5921,4.70%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Sikta,9
2010,5,Krishna Prasad,5010,4.00%,Independent,Sikta,9
2010,6,Faiyazul Azam,3187,2.60%,Indian National Congress,Sikta,9
2010,7,Prabhu Sharan Prasad Urf Munnaji,2018,1.60%,Independent,Sikta,9
2010,8,Baliram Prasad,1610,1.30%,Independent,Sikta,9
2010,9,Shams Perwaiz,1386,1.10%,Samajwadi Party,Sikta,9
2010,10,Ayub Ansari,1254,1.00%,Bahujan Samaj Party,Sikta,9
2010,11,Yadav Singh,853,0.70%,Independent,Sikta,9
2010,12,Mamoor Alam,833,0.70%,Samajwadi Janata Party (RASHTRIYA),Sikta,9
2010,13,Ezaz Ahamad,826,0.70%,Independent,Sikta,9
2010,14,Surya Deo Prasad,819,0.70%,Janvadi Party (Socialist),Sikta,9
2010,15,Sabbir Ahamad,779,0.60%,Independent,Sikta,9
2010,16,Satyanish Pandey,755,0.60%,Rashtriya Krantikari Janata Party,Sikta,9
2010,17,Irshad Sheikh,648,0.50%,Nationalist Congress Party,Sikta,9
2010,18,Shakil Ahamad,591,0.50%,Vanchitsamaj Insaaf Party,Sikta,9
2010,1,Dr. Ajay Kumar Singh,48686,42.90%,Bharatiya Janta Party,Raxaul,10
2010,2,Raj Nandan Rai,38569,34.00%,Lok Jan Shakti Party,Raxaul,10
2010,3,Rambabu Prasad Yadav,9691,8.50%,Indian National Congress,Raxaul,10
2010,4,Pramanand Prasad,7683,6.80%,Bahujan Samaj Party,Raxaul,10
2010,5,Jagat Narayan Patel,4009,3.50%,Independent,Raxaul,10
2010,6,Md.Nasim Akhtar,3679,3.20%,Nationalist Congress Party,Raxaul,10
2010,7,Bhagmati Devi,1138,1.00%,Samajwadi Party,Raxaul,10
2010,1,Ramchandra Sahani,39021,34.40%,Bharatiya Janta Party,Sugauli,11
2010,2,Vijay Prasad Gupta,26642,23.50%,Rashtriya Janata Dal,Sugauli,11
2010,3,Mahammed Umar Saifullah Khan,10922,9.60%,Indian National Congress,Sugauli,11
2010,4,Arjun Singh Bhartiy,10697,9.40%,Independent,Sugauli,11
2010,5,Md. Ainullah,8890,7.80%,Independent,Sugauli,11
2010,6,Radha Mohan Singh,6062,5.40%,Communist Party Of India,Sugauli,11
2010,7,Upendra Sahani,5272,4.70%,Bahujan Samaj Party,Sugauli,11
2010,8,Bemisal Pravin,2236,2.00%,Samajwadi Janata Party (RASHTRIYA),Sugauli,11
2010,9,Premchandra Prasad Yadav,2036,1.80%,Independent,Sugauli,11
2010,10,Rambabu Chaudhary,1589,1.40%,Independent,Sugauli,11
2010,1,Shyam Bihari Prasad,31549,26.50%,Janata Dal (United),Narkatia,12
2010,2,Yasmin Sabir Ali,23861,20.00%,Lok Jan Shakti Party,Narkatia,12
2010,3,Shamim Ahmad,14217,11.90%,Independent,Narkatia,12
2010,4,Sonu Kumar,13813,11.60%,Indian National Congress,Narkatia,12
2010,5,Shashi Bhushan Singh,10794,9.10%,Independent,Narkatia,12
2010,6,Virendra Prasad,7527,6.30%,Independent,Narkatia,12
2010,7,Awadh Biharee Prasad,3713,3.10%,Bahujan Samaj Party,Narkatia,12
2010,8,Lakshmi Prasad,2698,2.30%,Nationalist Congress Party,Narkatia,12
2010,9,Chandra Shekhar Dwivedi,2481,2.10%,Independent,Narkatia,12
2010,10,Prabhudeo Yadav,2026,1.70%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Narkatia,12
2010,11,Sunil Kumar,1569,1.30%,Independent,Narkatia,12
2010,12,Mohammad Sharif,1224,1.00%,Independent,Narkatia,12
2010,13,Md. Azazul Haque,1059,0.90%,Independent,Narkatia,12
2010,14,Vidyanand Prasad,921,0.80%,Independent,Narkatia,12
2010,15,Someshwar Sawarniy,676,0.60%,Independent,Narkatia,12
2010,16,Dhirendra Kumar Singh,491,0.40%,Independent,Narkatia,12
2010,17,Gayasuddin Miya,448,0.40%,Independent,Narkatia,12
2010,1,Krishana Nandan Paswan,48130,46.90%,Bharatiya Janta Party,Harsidhi,13
2010,2,Surendra Kumar Chandra Alias Satish Paswan,30066,29.30%,Rashtriya Janata Dal,Harsidhi,13
2010,3,Vijay Kumar Ram,6202,6.00%,Indian National Congress,Harsidhi,13
2010,4,Suresh Kumar,3353,3.30%,Independent,Harsidhi,13
2010,5,Kusum Devi,3324,3.20%,Independent,Harsidhi,13
2010,6,Dinesh Kumar Raj,2449,2.40%,Communist Party Of India,Harsidhi,13
2010,7,Sajawal Ram,2133,2.10%,Bahujan Samaj Party,Harsidhi,13
2010,8,Krishan Mohan Kumar,1722,1.70%,Independent,Harsidhi,13
2010,9,Badari Paswan,953,0.90%,Independent,Harsidhi,13
2010,10,Pramod Ram,881,0.90%,Janata Dal (Secular),Harsidhi,13
2010,11,Mahabali Paswan,829,0.80%,Nationalist Congress Party,Harsidhi,13
2010,12,Bindeshwari Ram,707,0.70%,Garib Vikas Party,Harsidhi,13
2010,13,Jamdar Ram,656,0.60%,Independent,Harsidhi,13
2010,14,Mukhlal Majhi,651,0.60%,Jharkhand Mukti Morcha,Harsidhi,13
2010,15,Munni Manjhi,636,0.60%,Independent,Harsidhi,13
2010,1,Meena Dwivedi,33859,34.80%,Janata Dal (United),Govindganj,14
2010,2,Raju Tiwari,25454,26.10%,Lok Jan Shakti Party,Govindganj,14
2010,3,Jai Prakash Panday,13071,13.40%,Indian National Congress,Govindganj,14
2010,4,Ratan Kumar Singh,10277,10.60%,Independent,Govindganj,14
2010,5,Vijay Kumar,3393,3.50%,Independent,Govindganj,14
2010,6,Ramtapsya Singh,3094,3.20%,Independent,Govindganj,14
2010,7,Sharda Nand Pandey,2311,2.40%,Bahujan Samaj Party,Govindganj,14
2010,8,Ambika Yadav,1918,2.00%,Independent,Govindganj,14
2010,9,Kalyan Swarup Tiwari,1394,1.40%,Independent,Govindganj,14
2010,10,Rabindra Mishra,1041,1.10%,Nationalist Congress Party,Govindganj,14
2010,11,Ravindra Dubey,863,0.90%,Independent,Govindganj,14
2010,12,Jitendara Kumar Gupta,725,0.70%,Janata Dal (Secular),Govindganj,14
2010,1,Sachindra Pd. Singh,34649,36.70%,Bharatiya Janta Party,Kesaria,15
2010,2,Ram Saran Pd. Yadav,22966,24.30%,Communist Party Of India,Kesaria,15
2010,3,Maheshwar Singh,12010,12.70%,Lok Jan Shakti Party,Kesaria,15
2010,4,Rajesh Kumar Singh,9325,9.90%,Independent,Kesaria,15
2010,5,Yahya Khan,3531,3.70%,Nationalist Congress Party,Kesaria,15
2010,6,Sumitra Kumari Yadav,3212,3.40%,Indian National Congress,Kesaria,15
2010,7,Dhruv Sahni,2188,2.30%,Samajwadi Party,Kesaria,15
2010,8,Prabhu Narayan Giri,2166,2.30%,Bahujan Samaj Party,Kesaria,15
2010,9,Brajesh Choubey,1805,1.90%,Independent,Kesaria,15
2010,10,Jyaul Rasul,1332,1.40%,Independent,Kesaria,15
2010,11,Jai Prakash Sah,1296,1.40%,Independent,Kesaria,15
2010,1,Razia Khatoon,41163,42.50%,Janata Dal (United),Kalyanpur,16
2010,2,Manoj Kumar Yadav,25761,26.60%,Rashtriya Janata Dal,Kalyanpur,16
2010,3,Ramayan Singh,7400,7.60%,Communist Party Of India,Kalyanpur,16
2010,4,Rajeshwar Prasad Singh,6937,7.20%,Bahujan Samaj Party,Kalyanpur,16
2010,5,Brijesh Ojha,3858,4.00%,Independent,Kalyanpur,16
2010,6,Arpana Devi,3102,3.20%,Independent,Kalyanpur,16
2010,7,Md. Anwar Alam Ansari,3060,3.20%,Indian National Congress,Kalyanpur,16
2010,8,Mukesh Prasad,1953,2.00%,Samajwadi Janata Party (RASHTRIYA),Kalyanpur,16
2010,9,Ashok Kumar,1016,1.10%,Independent,Kalyanpur,16
2010,10,Asrar Alam,956,1.00%,Nationalist Congress Party,Kalyanpur,16
2010,11,Prabhakar Yadav,914,0.90%,Independent,Kalyanpur,16
2010,12,Ashok Kumar Ram,751,0.80%,Samajwadi Party,Kalyanpur,16
2010,1,Awadhesh Prasad Kushwaha,40099,32.80%,Janata Dal (United),Pipra,17
2010,2,Subhodh Yadav,28212,23.10%,Rashtriya Janata Dal,Pipra,17
2010,3,Raj Mangal Prasad,9254,7.60%,Communist Party Of India (MARXIST),Pipra,17
2010,4,Sanjeev Kumar Singh,6348,5.20%,Indian National Congress,Pipra,17
2010,5,Ataur Rahman,5287,4.30%,Bahujan Samaj Party,Pipra,17
2010,6,Nagendra Sahani,4249,3.50%,Samajwadi Party,Pipra,17
2010,7,Dinesh Pathak,3472,2.80%,Independent,Pipra,17
2010,8,Kanhaia Singh,3037,2.50%,Independent,Pipra,17
2010,9,Devilal Prasad,2749,2.30%,Independent,Pipra,17
2010,10,Alauddin Azad,2413,2.00%,Independent,Pipra,17
2010,11,Shivaji Singh,2255,1.80%,Independent,Pipra,17
2010,12,Virendra Narayan Singh,2100,1.70%,Independent,Pipra,17
2010,13,Surendra Rai,1845,1.50%,Samajwadi Janata Party (RASHTRIYA),Pipra,17
2010,14,Sahdeo Paswan,1760,1.40%,Independent,Pipra,17
2010,15,Nawal Kishor,1543,1.30%,Independent,Pipra,17
2010,16,Suresh Prasad Yadav,1525,1.30%,Independent,Pipra,17
2010,17,Akhtar Ali,1449,1.20%,Indian National Green Party,Pipra,17
2010,18,Abhay Kumar Yadav,1218,1.00%,Independent,Pipra,17
2010,19,Shashi Bhusan Kumar,1196,1.00%,Janata Dal (Secular),Pipra,17
2010,20,Nawin Kumar Singh,886,0.70%,Nationalist Congress Party,Pipra,17
2010,21,Rajendra Paswan,819,0.70%,Indian Justice Party,Pipra,17
2010,22,Vikram Kumar,642,0.50%,Rashtra Sewa Dal,Pipra,17
2010,1,Shivjee Rai,40478,39.40%,Janata Dal (United),Madhuban,18
2010,2,Rana Randhir,30356,29.60%,Rashtriya Janata Dal,Madhuban,18
2010,3,Rajesh Kumar Raushan@ Babloo Deo,15248,14.90%,Indian National Congress,Madhuban,18
2010,4,Lal Babu Sahani,9087,8.90%,Bahujan Samaj Party,Madhuban,18
2010,5,Ranjit Prasad Sah,2498,2.40%,Independent,Madhuban,18
2010,6,Indu Bhushan Prasad Jaiswal,1448,1.40%,Janata Dal (Secular),Madhuban,18
2010,7,Jainuddin Ansari,1033,1.00%,Independent,Madhuban,18
2010,8,Sanjay Kumar,912,0.90%,Samajwadi Party,Madhuban,18
2010,9,Meraj Ansari,819,0.80%,All India Forward Bloc,Madhuban,18
2010,10,Ajay Kumar Pandey,791,0.80%,Independent,Madhuban,18
2010,1,Pramod Kumar,51888,42.50%,Bharatiya Janta Party,Motihari,19
2010,2,Rajesh Gupta Alias Bablu Gupta,27358,22.40%,Rashtriya Janata Dal,Motihari,19
2010,3,Suresh Sahni,9764,8.00%,Independent,Motihari,19
2010,4,Arvind Kumar Gupta,7723,6.30%,Indian National Congress,Motihari,19
2010,5,Arvind Kumar,6222,5.10%,Communist Party Of India (MARXIST),Motihari,19
2010,6,Bikramaditya Singh,5138,4.20%,Independent,Motihari,19
2010,7,Amrendra Singh,2165,1.80%,Independent,Motihari,19
2010,8,Mahendra Prasad Singh,1509,1.20%,Bahujan Samaj Party,Motihari,19
2010,9,Sikandar Chaudhary,1320,1.10%,Nationalist Congress Party,Motihari,19
2010,10,Rakesh Bhushan,1315,1.10%,Krantikari Samyavadi Party,Motihari,19
2010,11,Mahamad Hamid Ekbal,1171,1.00%,Independent,Motihari,19
2010,12,Capt. Pushkar Jha,1035,0.90%,Garib Vikas Party,Motihari,19
2010,13,Gauri Shankar Prasad,1009,0.80%,Samajwadi Janata Party (RASHTRIYA),Motihari,19
2010,14,Manish Kumar Shekhar,969,0.80%,Indian National Green Party,Motihari,19
2010,15,Md. Murtuja Ansari Alias Dr. Lal,950,0.80%,Samajwadi Party,Motihari,19
2010,16,Dhurav Narayan Chaudhary,775,0.60%,Independent,Motihari,19
2010,17,Lal Babu Ram,702,0.60%,Independent,Motihari,19
2010,18,Anurag Raj,634,0.50%,Smast Bhartiya Party,Motihari,19
2010,19,Durga Sah,452,0.40%,Janvadi Party (Socialist),Motihari,19
2010,1,Avaneesh Kumar Singh,39459,35.30%,Bharatiya Janta Party,Chiraia,20
2010,2,Laxmi Narayan Pr. Yadav,24631,22.00%,Rashtriya Janata Dal,Chiraia,20
2010,3,Manoj Kumar Singh,20287,18.10%,Indian National Congress,Chiraia,20
2010,4,Manju Devi,7006,6.30%,Independent,Chiraia,20
2010,5,Lal Babu Prasad Gupta,5430,4.90%,Bahujan Samaj Party,Chiraia,20
2010,6,Harendra Prasad Yadawa,5164,4.60%,Independent,Chiraia,20
2010,7,Imteyajul Haque,2484,2.20%,Independent,Chiraia,20
2010,8,Arun Singh,2161,1.90%,Nationalist Congress Party,Chiraia,20
2010,9,Sanjoy Yadav Alias Shubhranshu,2046,1.80%,Independent,Chiraia,20
2010,10,Susheela Devi,1374,1.20%,Samajwadi Janata Party (RASHTRIYA),Chiraia,20
2010,11,Ashok Ram,700,0.60%,Independent,Chiraia,20
2010,12,Kailash Prasad Yadwa,664,0.60%,Samajwadi Party,Chiraia,20
2010,13,Anugrah Narain Singh,527,0.50%,Independent,Chiraia,20
2010,1,Pawan Kumar Jaiswal,48100,38.00%,Independent,Dhaka,21
2010,2,Faisal Rahman,46451,36.70%,Janata Dal (United),Dhaka,21
2010,3,Nek Mohammed,13418,10.60%,Lok Jan Shakti Party,Dhaka,21
2010,4,Abdul Hamid Ansari,4464,3.50%,Indian National Congress,Dhaka,21
2010,5,Jaimangal Prasad,4385,3.50%,Bahujan Samaj Party,Dhaka,21
2010,6,Bindeshwari Prasad,3504,2.80%,Communist Party Of India,Dhaka,21
2010,7,Neka Mahamad,2221,1.80%,Independent,Dhaka,21
2010,8,Subhas Kumar Singh,1386,1.10%,Samajwadi Janata Party (RASHTRIYA),Dhaka,21
2010,9,Dharam Dev Rai,1258,1.00%,Smast Bhartiya Party,Dhaka,21
2010,10,Jawahar Lal Prasad,914,0.70%,Samajwadi Party,Dhaka,21
2010,11,Zainab Ahmad Nabi,534,0.40%,Nationalist Congress Party,Dhaka,21
2010,1,Sharfuddin,40447,33.70%,Janata Dal (United),Sheohar,22
2010,2,Pratima Devi,38816,32.40%,Bahujan Samaj Party,Sheohar,22
2010,3,Ajit Kumar Jha,24838,20.70%,Rashtriya Janata Dal,Sheohar,22
2010,4,Kamalesh Kumar Singh,2690,2.20%,Indian National Congress,Sheohar,22
2010,5,Rajesh Kumar Singh,2065,1.70%,Independent,Sheohar,22
2010,6,Md. Habibulah,1910,1.60%,Independent,Sheohar,22
2010,7,Shatrughnasahu,1583,1.30%,Nationalist Congress Party,Sheohar,22
2010,8,Sanjay Prasad,1426,1.20%,Independent,Sheohar,22
2010,9,Gagandeo Ram,1207,1.00%,Independent,Sheohar,22
2010,10,Rajiv Kumar Singh,1074,0.90%,Independent,Sheohar,22
2010,11,Suresh Kumar Singh,1073,0.90%,Independent,Sheohar,22
2010,12,Sanjay Kumar Singh,775,0.70%,Independent,Sheohar,22
2010,13,Md. Zulfaqar Anwar,749,0.60%,Independent,Sheohar,22
2010,14,Md. Nasruddin Ansari,692,0.60%,Independent,Sheohar,22
2010,15,Jay Prakash Sharma,593,0.50%,Independent,Sheohar,22
2010,1,Motilal Prasad,48633,39.90%,Bharatiya Janta Party,Riga,23
2010,2,Amit Kumar,26306,21.60%,Indian National Congress,Riga,23
2010,3,Nagina Devi,18562,15.20%,Lok Jan Shakti Party,Riga,23
2010,4,Ram Sakal Sahani,7937,6.50%,Bahujan Samaj Party,Riga,23
2010,5,Ajam Hussain Anwar,5147,4.20%,Nationalist Congress Party,Riga,23
2010,6,Nirajan Rai,2375,2.00%,Independent,Riga,23
2010,7,Chandrika Prasad,1318,1.10%,Independent,Riga,23
2010,8,Jalandhar Sah,1188,1.00%,Independent,Riga,23
2010,9,Shiv Shankar Bhagat,1149,0.90%,Independent,Riga,23
2010,10,Yugaljha,1068,0.90%,Independent,Riga,23
2010,11,Sikandar Mahto,1005,0.80%,All India Forward Bloc (Subhasist),Riga,23
2010,12,Gopal Paswan,967,0.80%,Independent,Riga,23
2010,13,Pushkarjha,865,0.70%,Garib Vikas Party,Riga,23
2010,14,Dhukharanjha,835,0.70%,Independent,Riga,23
2010,15,Dropati Devi,819,0.70%,Indian Justice Party,Riga,23
2010,16,Gonaurdas,812,0.70%,Samajwadi Party,Riga,23
2010,17,Sikendar Paswan,761,0.60%,Independent,Riga,23
2010,18,Ram Pukar Ram,724,0.60%,Independent,Riga,23
2010,19,Rameshsah,565,0.50%,Independent,Riga,23
2010,20,Sunil Kumar,514,0.40%,Revolutionary Socialist Party,Riga,23
2010,21,Lalan Paswan,472,0.40%,Smast Bhartiya Party,Riga,23
2010,1,Dinkar Ram,49181,44.00%,Bharatiya Janta Party,Bathnaha,24
2010,2,Lalita Devi,35889,32.10%,Lok Jan Shakti Party,Bathnaha,24
